target,prime,rt,key,participant,prof,primetype,relationtype,rtprime,months,immersion,years,age
СТРАДАТЬ,страдать,0.531,j,adk_L2,aine,identity,derivation,id,0,no,3,20
СМОТРЕТЬ,смотреть,0.479,j,adk_L2,aine,identity,derivation,id,0,no,3,20
СТОЯТЬ,стоять,0.575,j,adk_L2,aine,identity,derivation,id,0,no,3,20
ИГРАТЬ,играть,0.555,j,adk_L2,aine,identity,derivation,id,0,no,3,20
СТАВИТЬ,ставить,0.408,j,adk_L2,aine,identity,derivation,id,0,no,3,20
СЛУШАТЬ,слушать,0.43,j,adk_L2,aine,identity,derivation,id,0,no,3,20
ПРОСИТЬ,просить,0.515,j,adk_L2,aine,identity,derivation,id,0,no,3,20
КУРИТЬ,курить,0.544,j,adk_L2,aine,identity,derivation,id,0,no,3,20
СЧИТАТЬ,считать,0.475,j,adk_L2,aine,identity,derivation,id,0,no,3,20
ЖЕЛАТЬ,желать,0.448,j,adk_L2,aine,identity,derivation,id,0,no,3,20
ИСКАТЬ,искать,0.539,j,adk_L2,aine,identity,derivation,id,0,no,3,20
СИДЕТЬ,сидеть,0.442,j,adk_L2,aine,identity,derivation,id,0,no,3,20
ДУМАТЬ,думать,0.438,j,adk_L2,aine,identity,derivation,id,0,no,3,20
ГОВОРИТЬ,говорить,0.519,j,adk_L2,aine,identity,derivation,id,0,no,3,20
ЛЕЖАТЬ,лежать,0.496,j,adk_L2,aine,identity,derivation,id,0,no,3,20
ДЕРЖАТЬ,держать,0.484,j,adk_L2,aine,identity,derivation,id,0,no,3,20
ВЕРИТЬ,верить,0.401,j,adk_L2,aine,identity,derivation,id,0,no,3,20
СТРОИТЬ,строить,0.551,j,adk_L2,aine,identity,derivation,id,0,no,3,20
ПЛАКАТЬ,плакать,0.504,j,adk_L2,aine,identity,inflection,id,0,no,3,20
ВЫБРАТЬ,выбрать,0.505,j,adk_L2,aine,identity,inflection,id,0,no,3,20
ВСТРЕЧАТЬ,встречать,0.404,j,adk_L2,aine,identity,inflection,id,0,no,3,20
КРИЧАТЬ,кричать,0.535,j,adk_L2,aine,identity,inflection,id,0,no,3,20
