target,prime,rt,key,participant,prof,primetype,relationtype,rtprime
СТРАДАТЬ,страдать,0.531,j,adk_L2,aine,identity,derivation,id
СМОТРЕТЬ,смотреть,0.479,j,adk_L2,aine,identity,derivation,id
СТОЯТЬ,стоять,0.575,j,adk_L2,aine,identity,derivation,id
ИГРАТЬ,играть,0.555,j,adk_L2,aine,identity,derivation,id
СТАВИТЬ,ставить,0.408,j,adk_L2,aine,identity,derivation,id
СЛУШАТЬ,слушать,0.43,j,adk_L2,aine,identity,derivation,id
ПРОСИТЬ,просить,0.515,j,adk_L2,aine,identity,derivation,id
КУРИТЬ,курить,0.544,j,adk_L2,aine,identity,derivation,id
СЧИТАТЬ,считать,0.475,j,adk_L2,aine,identity,derivation,id
ЖЕЛАТЬ,желать,0.448,j,adk_L2,aine,identity,derivation,id
ИСКАТЬ,искать,0.539,j,adk_L2,aine,identity,derivation,id
СИДЕТЬ,сидеть,0.442,j,adk_L2,aine,identity,derivation,id
ДУМАТЬ,думать,0.438,j,adk_L2,aine,identity,derivation,id
ГОВОРИТЬ,говорить,0.519,j,adk_L2,aine,identity,derivation,id
ЛЕЖАТЬ,лежать,0.496,j,adk_L2,aine,identity,derivation,id
ДЕРЖАТЬ,держать,0.484,j,adk_L2,aine,identity,derivation,id
ВЕРИТЬ,верить,0.401,j,adk_L2,aine,identity,derivation,id
СТРОИТЬ,строить,0.551,j,adk_L2,aine,identity,derivation,id
ПЛАКАТЬ,плакать,0.504,j,adk_L2,aine,identity,inflection,id
ВЫБРАТЬ,выбрать,0.505,j,adk_L2,aine,identity,inflection,id
ВСТРЕЧАТЬ,встречать,0.404,j,adk_L2,aine,identity,inflection,id
КРИЧАТЬ,кричать,0.535,j,adk_L2,aine,identity,inflection,id
СООБЩИТЬ,сообщить,0.417,j,adk_L2,aine,identity,inflection,id
УБИТЬ,убить,0.481,j,adk_L2,aine,identity,inflection,id
БЕЖАТЬ,бежать,0.596,j,adk_L2,aine,identity,inflection,id
БРОСИТЬ,бросить,0.868,j,adk_L2,aine,identity,inflection,id
ПОНЯТЬ,понять,0.738,j,adk_L2,aine,identity,inflection,id
НАЧАТЬ,начать,0.607,j,adk_L2,aine,identity,inflection,id
ПИСАТЬ,писать,0.45,j,adk_L2,aine,identity,inflection,id
РЕШИТЬ,решить,0.534,j,adk_L2,aine,identity,inflection,id
СЛЫШАТЬ,слышать,0.4,j,adk_L2,aine,identity,inflection,id
ПОМНИТЬ,помнить,0.529,j,adk_L2,aine,identity,inflection,id
УЗНАТЬ,узнать,0.539,j,adk_L2,aine,identity,inflection,id
ОЖИДАТЬ,ожидать,0.548,j,adk_L2,aine,identity,inflection,id
СНИМАТЬ,снимать,0.418,j,adk_L2,aine,identity,inflection,id
СОБРАТЬ,собрать,0.413,j,adk_L2,aine,identity,inflection,id
СТРАДАТЬ,страдать,0.8011,j,amannerm,perus,identity,derivation,id
СМОТРЕТЬ,смотреть,0.4891,j,amannerm,perus,identity,derivation,id
СТОЯТЬ,стоять,0.5539,j,amannerm,perus,identity,derivation,id
ИГРАТЬ,играть,0.486,j,amannerm,perus,identity,derivation,id
СТАВИТЬ,ставить,0.5016,j,amannerm,perus,identity,derivation,id
СЛУШАТЬ,слушать,0.5198,j,amannerm,perus,identity,derivation,id
ПРОСИТЬ,просить,0.6025,j,amannerm,perus,identity,derivation,id
КУРИТЬ,курить,0.525,j,amannerm,perus,identity,derivation,id
СЧИТАТЬ,считать,0.5626,j,amannerm,perus,identity,derivation,id
ЖЕЛАТЬ,желать,0.5204,j,amannerm,perus,identity,derivation,id
ИСКАТЬ,искать,0.5195,j,amannerm,perus,identity,derivation,id
ТЕРЯТЬ,терять,0.5238,j,amannerm,perus,identity,derivation,id
ТРАТИТЬ,тратить,0.6277,j,amannerm,perus,identity,derivation,id
СИДЕТЬ,сидеть,0.6109,j,amannerm,perus,identity,derivation,id
ДУМАТЬ,думать,0.5028,j,amannerm,perus,identity,derivation,id
ГОВОРИТЬ,говорить,0.5292,j,amannerm,perus,identity,derivation,id
ЛЕЖАТЬ,лежать,0.616,j,amannerm,perus,identity,derivation,id
ДЕРЖАТЬ,держать,0.5156,j,amannerm,perus,identity,derivation,id
ВЕРИТЬ,верить,0.5627,j,amannerm,perus,identity,derivation,id
СТРОИТЬ,строить,0.4758,j,amannerm,perus,identity,derivation,id
ПЛАКАТЬ,плакать,0.7291,j,amannerm,perus,identity,inflection,id
ВЫБРАТЬ,выбрать,0.5315,j,amannerm,perus,identity,inflection,id
ВСТРЕЧАТЬ,встречать,0.4865,j,amannerm,perus,identity,inflection,id
КРИЧАТЬ,кричать,0.6668,j,amannerm,perus,identity,inflection,id
СООБЩИТЬ,сообщить,0.5017,j,amannerm,perus,identity,inflection,id
УБИТЬ,убить,0.5189,j,amannerm,perus,identity,inflection,id
БЕЖАТЬ,бежать,0.5413,j,amannerm,perus,identity,inflection,id
БРОСИТЬ,бросить,0.4667,j,amannerm,perus,identity,inflection,id
УМЕТЬ,уметь,0.536,j,amannerm,perus,identity,inflection,id
ПОНЯТЬ,понять,0.521,j,amannerm,perus,identity,inflection,id
НАЧАТЬ,начать,0.4743,j,amannerm,perus,identity,inflection,id
ПИСАТЬ,писать,0.4526,j,amannerm,perus,identity,inflection,id
РЕШИТЬ,решить,0.498,j,amannerm,perus,identity,inflection,id
СЛЫШАТЬ,слышать,0.5034,j,amannerm,perus,identity,inflection,id
ПОМНИТЬ,помнить,0.5295,j,amannerm,perus,identity,inflection,id
УЗНАТЬ,узнать,0.5699,j,amannerm,perus,identity,inflection,id
ОЖИДАТЬ,ожидать,0.6047,j,amannerm,perus,identity,inflection,id
СНИМАТЬ,снимать,0.5451,j,amannerm,perus,identity,inflection,id
ЗАБЫТЬ,забыть,0.4809,j,amannerm,perus,identity,inflection,id
СОБРАТЬ,собрать,0.472,j,amannerm,perus,identity,inflection,id
СТРАДАТЬ,страдать,0.941,j,jenniraj L2,syv,identity,derivation,id
СМОТРЕТЬ,смотреть,0.704,j,jenniraj L2,syv,identity,derivation,id
СТОЯТЬ,стоять,0.69,j,jenniraj L2,syv,identity,derivation,id
ИГРАТЬ,играть,0.64,j,jenniraj L2,syv,identity,derivation,id
СТАВИТЬ,ставить,0.806,j,jenniraj L2,syv,identity,derivation,id
СЛУШАТЬ,слушать,0.575,j,jenniraj L2,syv,identity,derivation,id
ПРОСИТЬ,просить,0.775,j,jenniraj L2,syv,identity,derivation,id
КУРИТЬ,курить,0.638,j,jenniraj L2,syv,identity,derivation,id
ЖЕЛАТЬ,желать,0.588,j,jenniraj L2,syv,identity,derivation,id
ИСКАТЬ,искать,0.56,j,jenniraj L2,syv,identity,derivation,id
